,daily_index,A
0,0,하루가 또 가네요.
1,1,위로해 드립니다.
2,2,여행은 언제나 좋죠.
3,3,여행은 언제나 좋죠.
4,4,눈살이 찌푸려지죠.
5,5,다시 새로 사는 게 마음 편해요.
6,6,다시 새로 사는 게 마음 편해요.
7,7,잘 모르고 있을 수도 있어요.
8,8,시간을 정하고 해보세요.
9,9,시간을 정하고 해보세요.
10,10,자랑하는 자리니까요.
11,11,그 사람도 그럴 거예요.
12,12,그 사람도 그럴 거예요.
13,13,혼자를 즐기세요.
14,14,돈은 다시 들어올 거예요.
15,15,땀을 식혀주세요.
16,16,어서 잊고 새출발 하세요.
17,17,빨리 집에 돌아가서 끄고 나오세요.
18,18,빨리 집에 돌아가서 끄고 나오세요.
19,19,다음 달에는 더 절약해봐요.
20,20,따뜻하게 사세요!
21,21,다음 달에는 더 절약해봐요.
22,22,가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.
23,23,온 가족이 모두 마음에 드는 곳으로 가보세요.
24,24,온 가족이 모두 마음에 드는 곳으로 가보세요.
25,25,온 가족이 모두 마음에 드는 곳으로 가보세요.
26,26,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요"
27,27,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요"
28,28,더 가까워질 기회가 되겠네요.
29,29,저도요.
30,30,다들 바빠서 이야기할 시간이 부족했나봐요.
31,31,다들 바빠서 이야기할 시간이 부족했나봐요.
32,32,온 가족이 모두 마음에 드는 곳으로 가보세요.
33,33,좋은 생각이에요.
34,34,더 가까워질 기회가 되겠네요.
35,35,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요"
36,36,좋은 생각이에요.
37,37,정말 후회할 습관이에요.
38,38,무모한 결정을 내리지 마세요.
39,39,선생님이나 기관에 연락해보세요.
40,40,떨리는 감정은 그 자체로 소중해요.
41,41,득템했길 바라요.
42,42,휴식도 필요하죠.
43,43,단짠으로 두 개 사는게 진리죠.
44,44,단짠으로 두 개 사는게 진리죠.
45,45,맛있게 드세요.
46,46,저도 싫어요.
47,47,가세요.
48,48,가세요.
49,49,맛있게 드세요.
50,50,맛있게 드세요.
51,51,병원가세요.
52,52,이럴 때 잘 쉬는 게 중요해요.
53,53,이럴 때 잘 쉬는 게 중요해요.
54,54,이럴 때 잘 쉬는 게 중요해요.
55,55,따뜻하게 관리하세요.
56,56,병원가세요.
57,57,병원가세요.
58,58,저도 듣고 싶네요.
59,59,자신을 더 사랑해주세요.
60,60,그건 습관이에요.
61,61,그건 습관이에요.
62,62,콕 집어서 물어보세요.
63,63,좋은 생각만 하세요.
64,64,마음이 아픈가요.
65,65,갑작스러웠나봐요.
66,66,관계의 변화가 왔나봅니다.
67,67,처음 3초가 중요해요. 당신의 매력을 어필해보세요.
68,68,책임질 수 있을 때 키워 보세요.
69,69,먼저 생활패턴을 살펴 보세요.
70,70,먼저 생활패턴을 살펴 보세요.
71,71,책임질 수 있을 때 키워 보세요.
72,72,아름다운 곳이죠.
73,73,안 될 것도 없죠.
74,74,혼자도 좋아요.
75,75,연인은 살쪄도 잘 알아차리지 못하고 알아차려도 싫어하지 않을 거예요.
76,76,즐거운 시간 보내고 오세요!
77,77,질질 끌지 마세요.
78,78,말해보세요.
79,79,함께하면 서로를 더 많이 알게 될 거예요.
80,80,개시해보세요.
81,81,개시해보세요.
82,82,곧 방학이예요.
83,83,방학이 참 짧죠.
84,84,벗어나는 게 좋겠네요.
85,85,벗어나는 게 좋겠네요.
86,86,세수하고 오세요.
87,87,그게 제일 중요한 건데요.
88,88,그게 제일 중요한 건데요.
89,89,다음부터는 더 많이 아세요.
90,90,갑작스러웠나봐요.
91,91,공적인 일부터 하세요.
92,92,공적인 일부터 하세요.
93,93,낮잠을 잠깐 자도 괜찮아요.
94,94,저도 좋아해주세요.
95,95,친구들이 보고싶었나봐요.
96,96,되도록 만나지 마세요.
97,97,당신이요.
98,98,당신의 운을 믿어보세요.
99,99,일 못하는 사람이 있으면 옆에 있는 사람이 더 힘들죠.
100,100,밥 사줄 친구를 찾아 보세요~
101,101,선의의 거짓말이길 바라요.
102,102,거짓말은 할수록 늘어요.
103,103,거짓말은 할수록 늘어요.
104,104,진실된 말을 하려고 노력해보세요.
105,105,누구나 걱정은 있어요.
106,106,누구나 걱정은 있어요.
107,107,운동을 해보세요.
108,108,세상의 무엇보다 건강이 제일 중요해요.
109,109,주기적으로 해주는 게 좋죠.
110,110,주기적으로 해주는 게 좋죠.
111,111,가장 중요한 목표네요.
112,112,가장 중요한 목표네요.
113,113,적게 먹고 많이 움직이세요.
114,114,적게 먹고 많이 움직이세요.
115,115,모르는 사이라 당황할 수도 있어요.
116,116,이룰 수 있을 거예요.
117,117,이룰 수 있을 거예요.
118,118,기분이 나쁘셨나봐요.
119,119,있으면 편하대요.
120,120,눈을 깜빡거려 보세요.
121,121,청소를 좋아하시나봐요.
122,122,안전 귀가 하세요.
123,123,용기 내보세요.
124,124,피해를 안 준다면 무시하세요.
125,125,안 될 것도 없죠.
126,126,게임할때는 시간이 더 빨리 가요.
127,127,정리해보세요.
128,128,게임하세요!
129,129,다른 게임해보세요.
130,130,다른 게임해보세요.
131,131,게임하세요!
132,132,게임할때는 시간이 더 빨리 가요.
133,133,마음에도 봄이 오길 바라요.
134,134,몸은 뜨겁고 머리는 차갑게!
135,135,마음에도 봄이 오길 바라요.
136,136,잘하실 거예요!
137,137,잘하실 거예요!
138,138,건강 생각해서 챙겨드세요.
139,139,좋은 운명도 있을거예요.
140,140,결정하기 힘드시겠네요.
141,141,자신을 위한 결정을 내리길 바라요.
142,142,자신을 위한 결정을 내리길 바라요.
143,143,결정은 빠르면 빠를수록 좋을 거예요.
144,144,안타깝네요. 증거를 지금이라도 모아봐요.
145,145,좋겠어요.
146,146,좋겠어요.
147,147,많이 들지만 줄일 수 있을 거예요.
148,148,경조사는 참석하는게 좋아요.
149,149,경조사는 참석하는게 좋아요.
150,150,생각보다 신경 안 씁니다.
151,151,인맥이 넓으신가봐요.
152,152,힘들겠네요.
153,153,많이 들지만 줄일 수 있을 거예요.
154,154,욕심에 따라 천지 차이일 거예요.
155,155,허례허식이에요.
156,156,욕심에 따라 천지 차이일 거예요.
157,157,해봐요.
158,158,서로 노력하면 행복할 거예요.
159,159,서로 노력하면 행복할 거예요.
160,160,사람마다 행복의 크기가 다르겠지만 행복할 거예요.
161,161,사람마다 행복의 크기가 다르겠지만 행복할 거예요.
162,162,능력이 있으면 하면 되죠.
163,163,능력이 있으면 하면 되죠.
164,164,이사람이다 싶은 사람이랑 하세요.
165,165,해봐요.
166,166,점점 치열해지는 것 같아요.
167,167,확신이 없나봐요.
168,168,안정적인 걸 좋아하나봐요.
169,169,방학은 참 짧아요.
170,170,보러 가세요.
171,171,보러 가세요.
172,172,계속 좋지 않으면 병원에 가보세요.
173,173,타이밍이 안 맞았나봐요.
174,174,이제 취업 하셔야죠.
175,175,뇌세포에 에너지를 공급하려는 자연스러운 현상이에요. 에너지가 부족한가봐요.
176,176,공부가 최우선이죠.
177,177,공부가 최우선이죠.
178,178,너무 무리하지는 마세요.
179,179,너무 무리하지는 마세요.
180,180,저기압에는 고기앞이죠.
181,181,저기압에는 고기앞이죠.
182,182,연습이 필요해요.
183,183,연습이 필요해요.
184,184,혼자가 아니에요.
185,185,인복이 많나봐요.
186,186,너무 걱정하지 마세요.
187,187,네 말씀하세요.
188,188,네 말씀하세요.
189,189,후회는 후회를 낳을뿐이에요. 용기 내세요.
190,190,돈을 모아서 다른 곳으로 이사갈 수 있을 거예요.
191,191,돈을 모아서 다른 곳으로 이사갈 수 있을 거예요.
192,192,더 좋은 곳에서 살 수 있을 거예요.
193,193,더 좋은 곳에서 살 수 있을 거예요.
194,194,완전 귀엽죠?
195,195,자신을 먼저 키우세요.
196,196,가족들과 상의해보세요.
197,197,용서를 구하세요.
198,198,피할 수 있으면 피하세요.
199,199,피할 수 있으면 피하세요.
200,200,처음부터 잘하는 사람은 없어요.
201,201,시간내서 가보세요.
202,202,처음부터 잘하는 사람은 없어요.
203,203,시간내서 가보세요.
204,204,미리 미리 충전해주세요.
205,205,미리 미리 충전해주세요.
206,206,안정적이고 좋죠.
207,207,준비해보세요.
208,208,준비해보세요.
209,209,합격 기원해요!
210,210,철밥통 되기가 어디 쉽겠어요.
211,211,철밥통 되기가 어디 쉽겠어요.
212,212,시작이 반이에요. 어서 준비하세요.
213,213,안정적이고 좋죠.
214,214,자연스러운 현상이에요.
215,215,자연스러운 현상이에요.
216,216,보이는 게 없죠.
217,217,지금처럼 잘될 거예요.
218,218,미래의 배우자가 달라져요.
219,219,확신이 없나봐요.
220,220,공부는 언제나 좋죠.
