,sentence,label
0,인사드립니다.,0
1,인사하려고 했는데 짝남이 먼저 인사해줬어. 더 떨렸겠어요.,0
2,인사할까 했는데 짝녀가 먼저 인사해줬어. 기분 좋았겠네요.,0
3,집에 인사드리러 가 제가 더 떨리네요.,0
4,마무리 가벼운 안부 인사일 거예요.,0
5,새해인사 했네 이제 연락하지 마세요.,0
6,마지막 인사를 하러가네 미련없길 바랄게요.,0
7,마지막 인사하러 갑니다. 미련없이 정리했긴 바랍니다.,0
8,마음에 마지막 인사 마음이랑 잘 인사해요.,0
9,잘게 잘자 안녕히 주무세요.,0
10,이제 안녕 맘고생 많았어요.,0
11,안녕.,0
12,진짜 안녕!! 안녕!,0
13,진짜 진짜 안녕 맘 고생 많았어요.,0
14,고하며 잘 보내주었나요.,0
15,안녕하세요.,0
16,아침이야,0
17,반갑다,0
18,어떻게 지냈어요?,0
19,지냈습니까?,0
20,반가워요,0
21,반갑습니다,0
22,먼저 잘게 안녕히 주무세요.,0
23,주무세요.,0
24,안녕하세요.,0
25,안녕하세요.,0
26,안녕하세요.,0
27,안녕하세요.,0
28,안녕히 주무세요.,0
29,그만 잘래 안녕히 주무세요.,0
30,잘가~~~ 이제 정말 안녕,0
31,처음에 어떻게 시작함 안녕 이라고 인사부터 해보세요.,0
32,어떻게 시작함 안녕 이라고 인사부터 해보세요.,0
33,거리 어디를 나서나 봄기운을 확연히 느낄 수 있는 계절입니다.,0
34,생동감 넘치는 사람들의 표정에서도 어느덧 봄 기운을 느낄 수 있습니다.,0
35,틈으로 새어들어오는 따스한 햇볕이 온 몸을 훈훈하게 해 주는 따스한 계절 봄입니다.,0
36,봄 기운이 겨우내 잔뜩 움츠렸던 어깨를 활짝 펴주는 계절의 여왕 봄입니다.,0
37,단조로움을 환하게 밝혀주는 희망의 봄이 찾아왔습니다.,0
38,개나리 등 봄꽃들이 마중나와 환한 웃음을 짓게하는 사랑스런 계절 봄이 왔습니다.,0
39,곱게 물이 오른 새봄의 기운 느끼시나요?,0
40,들판을 녹이며 솟아오르는 아리랑이가 잠시 잊고 지냈던 그리움을 느끼게 해 줍니다.,0
41,봄 내음 물씬 풍겨오는 향기 가득한 계절 봄입니다.,0
42,할 수 있을 것 같은 활기차고 희망찬 계절 봄이 왔습니다.,0
43,손님처럼 어느새 찾아온 봄이 우리 주변을 향긋한 향기로 물들이고 있습니다.,0
44,일만 생길 것 같은 가슴 벅찬 설렘 바로 봄이 우리에게 주는 선물이 아닐까 합니다.,0
45,새싹이 고개를 내밀며 인사하는 반가운 봄입니다.,0
46,여왕 그야말로 생동하는 희망의 계절 봄이 왔습니다.,0
47,노랗게 물들인 개나리와 불그스레 어린 신부의 부끄러움을 닮은 진달래꽃들의 향연이 즐거운 봄입니다.,0
48,하늘 아래 파릇파릇 봄기운이 흐르고 들녘마다 아지랑이가 피어나는 생동의 계절 봄입니다.,0
49,시작과 도전 꿈과 희망 열정이 떠오르는 계절 봄입니다.,0
50,움츠렸던 꽃망울들이 서로 경쟁하듯 톡톡 터지며 저마다의 향기를 뽐내는 봄입니다.,0
51,가족들을 위해 쑥국과 냉이국을 끓여내던 따뜻한 추억이 문득 떠오르는 계절입니다.,0
52,앙상했던 산들도 어느덧 피어오른 봄꽃들의 향연으로 눈이 즐거운 계절 봄입니다.,0
53,생동하는 봄이 왔습니다만 아직 겨울 끝자락의 매서움이 봄바람에 묻어나는 3월입니다.,0
54,좋은 인연을 만날 수 잇을 것 같은 사랑하고 싶은 계절 봄입니다.,0
55,푸르름에서 생동감을 느낄 수 있는 완연한 봄이 왔습니다.,0
56,만발한 거리를 걷다보면 꼭 저에게도 꽃내음이 묻어날 것 같네요.,0
57,목련꽃이 눈부시게 아름다운 봄입니다.,0
58,겨울이었냐는 듯이 하루가 다르게 초록으로 변하는 산과 들의 향연에 눈이 즐거운 계절 봄입니다.,0
59,문득 올려다 본 하늘이 파란 물감을 풀어놓은 듯 너무 아름다웠습니다. 여러분들도 오늘 하루만이라도 머리를 들어 꼭 하늘을 바라보세요. 깊어진 봄 기운을 한껏 느끼실 수 있을 겁니다.,0
60,벚꽃이 가슴 설레게 하는 4월입니다.,0
61,걸 훌훌 털어버리고 사랑하는 사람과 함께 봄 향기 가득한 곳으로 훌쩍 떠나고픈 4월입니다.,0
62,가는 봄 코 끝을 스치는 라일락 향기가 마음까지 설레게 하는 계절입니다.,0
63,사람들이 생각나는 계절의 여왕 봄의 중심 5월입니다.,0
64,곁에서 힘이 되어주고 용기를 심어주는 가족의 소중함을 새삼 깨닫게 해 주는 가정의 달 5월입니다.,0
65,피어있는 아카시아 꽃향기가 저물어가는 봄을 시위라도 하듯 진동하고 있는 황홀한 계절의 여왕 5월입니다.,0
66,참 빠른 것 같습니다. 해맞이 행사로 00년 새해를 맞이한 게 정말 엊그제 같은데 벌써 봄을 지나 여름을 향해 가고 있습니다.,0
67,초목들의 녹음이 짙어가는 싱그러운 계절이 왔습니다.,0
68,바다 거센 파도 눈부신 햇살이 문득 그리운 계절 여름이 다가왔습니다.,0
69,열기가 느껴지는 젊음의 계절 여름입니다.,0
70,꽃향기가 코끝을 간지럽히는 향기로운 6월입니다.,0
71,태양아래 무르익어가는 여름들녁에서 힘찬 생명력을 느낄 수 있습니다.,0
72,미처 만끽하기도 전에 벌써 본격적인 더위가 찾아왔습니다.,0
73,무더워진 날씨로 혹여나 000님들 몸과 마음이 지치고 힘드시지 않을까 걱정입니다.,0
74,넘치는 나뭇잎들과 함께 어느새 높아진 기온이 여름이 성큼 다가온 것 같습니다.,0
75,식히려는 듯 시원한 빗줄기가 마른 대지를 적셔주는 초여름입니다.,0
76,초록의 싱그러움에 삶이 더욱 활기차게 느껴지는 초여름날 오후에 ~~~~ 시간을 갖게 되어,0
77,태양이 작열하는 열정의 계절 여름입니다.,0
78,걸어도 땀이 비오듯 내리는 무더위네요. 시원한 물 한 잔이 더없이 고맙게 느껴지는 요즘입니다.,0
79,친구들과 계곡에서 맘껏 뛰어놀던 추억이 떠오르는 7월입니다.,0
80,쉬운 폭염을 이겨내기 위해서는 잠시라도 하던 일을 멈추고 사랑하는 가족 지인들과 함께하는 즐겁고 유쾌한 시간이 꼭 필요합니다. 여름휴가들은 다녀오셨나요?,0
81,여름휴가를 다녀오지 않으셨다면 남은 기간 알찬 휴가계획 세우셔서 가까운 산과 바다에서 지친 피로를 말끔히 씻어내시길 바랍니다.,0
82,내리쬐는 여름햇살 때문에 좀처럼 열기가 식지 않는 후덥지근한 저녁날씨에도 불구하고 ~~ 많이 참석해 주신 ~~~~ 께 진심으로 감사의 말씀을 전합니다.,0
83,날씨로 인해 지친 몸과 마음을 푸르른 산과 시원한 바다로 달려가 그동안 지친 피로를 말끔히 씻어 버리고,0
84,물고 늘어져 힘든 날씨지만 긴 폭염 속에 들려오는 귀뚜라미 노랫소리가 가을을 알리는 것 같습니다.,0
85,시간을 다투며 아름답고 우아하게 형형색색 자신들의 매력을 뽐내고 있는 아름다운 계절 여름입니다.,0
86,수확의 계절 여유로움과 넉넉한을 주는 10월 가을향기 가득한 이곳 000에서,0
87,불어오는 신선한 바람이 가을이 멀지 않았음을 알려주는 것 같습니다.,0
88,은행잎과 진홍색의 단풍잎들이 아름다운 한 폭의 풍경화를 그려내고,0
89,자연 풍광을 품고 있는 산 언저리에는 감탄스러운 만추의 모습이 연출되고 있습니다.,0
90,가슴에도 가을햇살 같은 즐거움과 풍성한 행복이 가득하길 바래봅니다.,0
91,해도 한낮에는 다소 덥던 날씨가 언제 그랬냐는 듯 청명한 가을날씨를 보이고 있습니다.,0
92,가을이 깊어가는 시월이 찾아왔습니다.,0
93,폭염을 밀어내는 선선한 가을바람이 상쾌함을 전해줍니다.,0
94,울음소리와 귓가에 맴도는 매미소리가 떠나가는 여름을 못내 아쉬워하는 것만 같습니다.,0
95,먹거리 풍성한 가을입니다. 좋은 사람들과 넉넉한 행복을 나누기 좋은 계절입니다.,0
96,풍성하고 아름다운 색채를 뽐내던 가로수들이 어느새 앙상한 가지를 드러내고 있는 것을 보면 겨울이 오긴 온 것 같습니다.,0
97,해를 시작하기 위해 분주히 발걸음을 옮긴 지가 엊그제 같은데 벌써 일년을 정리하는 끝자락에 와있습니다.,0
98,헐벗은 나뭇가지를 보니 겨울의 중심에 와 있음을 느낄 수 있습니다.,0
99,길거리 따뜻한 호빵의 유혹을 지나치기 힘든 계절이 찾아왔습니다.,0
100,매서운 바람에 옷깃을 여미게 되는 겨울입니다.,0
101,연인 친구와 함께 올해 마지막 추억을 만들어 가는 12월입니다.,0
102,매서운 바람이 가을을 몰아내고 겨울을 가지고 들어 왔네요.,0
103,해를 보내는 아쉬운 마음과 새해를 맞는 설레임이 교차하는 12월입니다.,0
104,다짐했던 계획들 잘 정리하고 계신가요? 남은 날들 계획한 모든 일들이 잘 이루어지기를 바랍니다.,0
105,때문에 몸은 잔뜩 움츠려들지만 12월은 연말연시를 맞아 따뜻한 정을 나눌 수 있는 훈훈한 계절임은 확실한 것 같습니다.,0
106,한장의 달력만을 남겨두고 있습니다. 열심히 달려온 우리 자신에게 격려와 박수를 보낼 수 있는 12월이 되었으면 합니다.,0
107,뒤덮던 낙엽도 어느새 흔적도 없이 사라지고 이제는 그 자리를 소복히 채워 줄 함박눈이 기다려지는 12월입니다.,0
108,추천 할래,1
109,﻿추천 하고싶어요,1
110,먹고싶어요,1
111,하고싶어요,1
112,원해요,1
113,어떻게 해야 되요?,1
114,어떻게 해야 돼,1
115,하고 싶은데,1
116,알려줘,1
117,가르쳐줘,1
118,하고 싶다,1
119,하고 싶은데,1
120,할게요,1
121,도와줘,1
122,할께요,1
123,도와주세요,1
124,할 수 있나요?,1
125,가능 한가요,1
126,문의드려요,1
127,당일 가능한가요,1
128,해주세요,1
129,하려구요,1
130,되었나요,1
131,되나요,1
132,할수 있을까요?,1
133,싶어요,1
134,언제 가능,1
135,언제가능할까요,1
136,한가요?,1
137,어떻게 하나요,1
138,어떻게 되나요,1
139,어떻게 하나요,1
140,하는법,1
141,할래,1
142,해줘,1
143,확인,1
144,해야 합니다,1
145,가능할까요,1
146,몇시부터 가능한가요,1
147,다음주 추천,1
148,당일 추천,1
149,모레추천,1
150,내일 추천 하고 싶습니다.,1
151,내일 오후4시30분에 진료받으러 가겠습니다. 추천 부탁드립니다,1
152,내일추천 가능한가요?,1
153,내일추천하고싶어요,1
154,사랑니 발치 추천,1
155,여기서 치료추천이 되나요?,1
156,오늘 추천 가능한가요?,1
157,토요일추천,1
158,받고싶은데 추천 어떻게 하나요,1
159,하려고 하는데 추천 진행도와주세요,1
160,신청 어떻게 하나요,1
161,추천상담하고싶어요,1
162,1월17일 추천이요,1
163,통합추천,1
164,어떻게 추천해야되지요?,1
165,추천은 어떻게 해요?,1
166,사전추천가능한가요?,1
167,미리 추천할수있나요?,1
168,미리 추천가능할까요?,1
169,추천해주세요,1
170,추천하고싶어요,1
171,추천하고싶어요,1
172,추천 하는법 알려주세요,1
173,추천 잡고 싶은데요,1
174,추천 가능 여부,1
175,추천 가능한가요,1
176,추천 관련 문의드립니다,1
177,추천 하까 마까?,1
178,추천하까?,1
179,추천 관련 문의하고 싶어요,1
180,음식 추천하고싶어요,1
181,추천문의요,1
182,인터넷으로 추천할수 잇나요,1
183,최대한 빨리 추천할수 있는 방법이 있나요,1
184,추천빨리하고싶어요!,1
185,추천접수받아줘,1
186,추천가능한 수단 다 가르쳐줘,1
187,메뉴 추천해주세요,1
188,인터넷으로 추천할수 있나요,1
189,추천하게 전화번호 줘,1
190,추천하려고하는데 어디 전화하면되죠,1
191,추천하고싶어요,1
192,진료 추천 방법,1
193,추천하는데 오늘 가도 되나요,1
194,지금 음식 받을수 있나요,1
195,추천할수 있나요,1
196,추천하고 싶어요,1
197,추천 카톡으로 진행할께요,1
198,음식 추천 톡으로도 가능할지?,1
199,음식 카톡으로도 추천 되나요?,1
200,메뉴 카톡으로도 추천 되나요?,1
201,음식 추천 가능한가요,1
202,메뉴 추천 가능한가요,1
203,추천하고싶은데 진행을 어떻게 하면 되나요,1
204,방문이나 전화로 추천가능합니까?,1
205,추천 오케?,1
206,여기서 추천 가능,1
207,추천 변경 가능할까?,1
208,꼭 추천하고싶습니다,1
209,추천 오케이?,1
210,추천 하고 싶습니다,1
211,추천 가능,1
212,추천 해줘,1
213,메뉴 추천 해줘,1
214,음식 추천 해줘,1
215,추천 정보,1
216,추천 어디서 하죠?,1
217,온라인 추천 가능한가요?,1
218,추천ㄱㄱ,1
219,추천 하고 싶어요,1
220,추천하고파요,1
221,오전에 추천 원합니다,1
222,오후로 추천 가능함?,1
223,시키고 싶어요,1
224,시킬거야,1
225,메뉴 선택,1
226,음식 선택,1
227,선택,1
228,점심시간에 추천 가능합니까?,1
229,식사시간에 추천 해도 되요?,1
230,식사시간에 추천 가능?,1
231,점심시간에 추천 가능?,1
232,점심시간에 추천 할께요,1
233,저녁시간에 추천하고싶어요,1
234,평일 추천,1
235,주말추천하고싶어요,1
236,주말추천가능해요?,1
237,지금 추천 가능?,1
238,추천 콜?,1
239,당일 추천 콜?,1
240,담주 추천 콜?,1
241,담달 추천 콜?,1
242,내일 추천 콜?,1
243,내일 추천 가능?,1
244,내일 추천하고싶어요,1
245,담주 추천 할께요,1
