Unnamed: 0,번호,제목,저자,출판사,출판일
,1,Using AI to Teach AI: Lessons from an Online AI Class,"Goel,  Ashok K.; Joyner,  David A.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2017
,2,ai@work: How does business use AI technology?,unknown,"KNOWLEDGE TECHNOLOGY, INC.",1997
,3,The AI Impacts on CIM-Concepts,"Marik, V.; Lazansky, J.; Stepankova, O.",IEEE Computer Society Press,1993
,4,Editorial: AI Education for the World,"Goel,  Ashok",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2017
,5,AI Controlled High Level Petri Nets in Simulating FMS,"Javor, A.",IEEE Computer Society Press,1993
,6,The role of big data and AI in marketing and advertising,unknown,PHARMACEUTICAL MARKETING,2017
,7,Introduction: Artificial Intelligence Education,"Wollowski,  Michael; Neller,  Todd; Boerkoel,  James",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2017
,8,AI4COVID-19: AI enabled preliminary diagnosis for COVID-19 from cough samples via an app,"Imran, Ali; Posokhova, Iryna; Qureshi, Haneya N.; Masood, Usama; Riaz, Muhammad Sajid; Ali, Kamran; John, Charles N.; Hussain, MD Iftikhar; Nabeel, Muhammad",Elsevier Science B.V. Amsterdam,2020
,9,Music Education: An Artificial Intelligence Perspective,"Smith, M.;Miranda, E.;Anderson, T.;Holland, S.",Univ,1993
,10,StarCraft AI Competition: A Step Toward Human-Level AI for Real-Time Strategy Games,"Farooq,  Sehar Shahzad; Oh,  In-Suk; Kim,  Man-Jae; Kim,  Kyung Joong",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2016
,11,Modelling Immune Memory for Prediction and Computation,"Wilson, W. O.; Garrett, S. M.",Berlin; London; Springer,2004
,12,Successful Applications of Artificial Intelligence in the Petroleum Industry,"Braunschweig, B.; Bremdal, B. A.",Editions Technip,1995
,13,"Explicit Self-esteem, Relative Implicit Self-esteem and Global Implicit Self-esteem","Ai, C.-g.",EDITORIAL BOARD OF CHINESE JOURNAL OF CLINICAL PSYCHOLOGY,2011
,14,Web-based System for Assisting Education: An Empirical Assessment,"Maheswari, A. K.",AIS,1998
,15,"Components, Curriculum, and Community: Robots and Robotics in Undergraduate AI Education","Dodds, Z.; Greenwald, L.; Howard, A.; Tejada, S.; Weinberg, J.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2006
,16,An Artificial Intelligence Methodology for the Adaptation of Agricultural Models,"Jacucci, G.; Foy, M.; Uhrik, C.",Elsevier,1995
,17,Toward AI fashion design: An Attribute-GAN model for clothing match,"Liu, Linlin; Zhang, Haijun; Ji, Yuzhu; Jonathan Wu, Q.M.","Elsevier Science B.V., Amsterdam.",2019
,18,From Computational Thinking to AI Thinking,"Zeng, D.",COMPUTER SOCIETY,2013
,19,Interviews on AI and Education: Education and Technology: What do we know? And where is AI?,"Sandberg, J.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,1993
,20,Educational Advances in Artificial Intelligence: Leveraging AI Teaching in the Cloud for AI Teaching on Campus,"Fisher, D.H.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2014
,21,AI for Prevention of Dementia and Assisting People with Dementia and Development of Support Services for Prevention of Dementia Co-created with Older Adults,"Otake,  Mihoko",JAPANESE SOC ARTIFICIAL INTELL,2016
,22,Toward a Better Understanding of the Surface Effect through the Design of Conductive Binders in Lithium Sulfur Battery,"Ai,  Guo; Wang,  Zhihui; Dai,  Yiling; Zhao,  Hui; Chen,  Yulin; Liu,  Gao",Electrochemical Society,2015
,23,AI and Human Society,"Gelepithis, P.",SPRINGER VERLAG KG,1999
