title,brand,percent,price
SAVAGE [미니 1집] [SYNK DIVE VER],AESPA(에스파),19%,20000
ODDINARY [MINI ALBUM] [SCANNING/ MASK OFF VER] [일반반],STRAY KIDS(스트레이 키즈),19%,16500
2021 WINTER SMTOWN: SMCU EXPRESS [RED VELVET],RED VELVET(레드벨벳),20%,24000
2021 WINTER SMTOWN: SMCU EXPRESS [NCT - DAYTIME PASS],NCT(엔시티),19%,22000
2021 WINTER SMTOWN: SMCU EXPRESS [NCT - NIGHTTIME PASS],NCT(엔시티),18%,14500
2021 WINTER SMTOWN: SMCU EXPRESS [SMTOWN VER],VARIOUS,19%,22000
2021 WINTER SMTOWN: SMCU EXPRESS [AESPA],AESPA(에스파),20%,24000
YOUNG-LUV.COM [미니 2집] [2종 중 랜덤 1종],STAYC(스테이씨),19%,13500
AN ODE [정규 3집],SEVENTEEN(세븐틴),19%,22000
SMILEY [미니 1집],YENA(최예나),20%,25000
GLITCH MODE [정규 2집] [PHOTOBOOK VER],NCT DREAM(엔시티 드림),19%,27000
HELLO FUTURE [정규 1집] [리패키지] [PHOTO BOOK VER],NCT DREAM(엔시티 드림),20%,24000
혼돈의 장: FIGHT OR ESCAPE [TOGETHER VER],TXT(투모로우바이투게더),17%,18000
YOUNG-LUV.COM [미니 2집] [JEWEL CASE VER] [6종 중 랜덤 1종],STAYC(스테이씨),20%,48000
헹가래(HENG:GARAE) [미니 7집],SEVENTEEN(세븐틴),19%,16500
혼돈의 장: FIGHT OR ESCAPE,TXT(투모로우바이투게더),19%,12500
SAVAGE [미니 1집] [HALLUCINATION QUEST VER],AESPA(에스파),19%,40000
REAL LOVE [정규 2집] [2종 세트],OH MY GIRL(오마이걸),19%,22000
ATTACCA [미니 9집] [CARAT VER],SEVENTEEN(세븐틴),19%,22000
FATAL LOVE [정규 3집],MONSTA X(몬스타엑스),19%,22000
