,사고날짜,주/야 구분,사망자 수,부상자 수,시군구 코드,사고유형 코드
0,2019010100,야간,1,1,1209,05
1,2019010103,야간,1,1,1307,21
2,2019010116,주간,1,1,1922,22
3,2019010119,야간,1,1,2503,01
4,2019010121,야간,1,1,1908,05
5,2019010203,야간,1,2,1502,23
6,2019010206,주간,1,1,2308,25
7,2019010210,주간,1,1,1102,01
8,2019010210,주간,1,1,1319,22
9,2019010215,주간,1,1,1617,38
10,2019010216,주간,1,1,1701,01
11,2019010218,야간,1,1,2008,23
12,2019010218,야간,1,1,1704,23
13,2019010219,야간,1,1,1308,05
14,2019010223,야간,1,1,2010,05
15,2019010303,야간,1,1,1824,32
16,2019010307,주간,1,1,2605,35
17,2019010312,주간,1,2,1122,05
18,2019010317,주간,1,1,1102,01
19,2019010320,야간,1,1,1605,21
20,2019010405,야간,1,1,1307,25
21,2019010407,주간,1,1,2207,01
22,2019010408,주간,1,1,1925,25
23,2019010410,주간,1,1,1308,21
24,2019010415,주간,1,1,1313,01
25,2019010501,야간,1,1,1326,05
26,2019010501,야간,1,1,1701,32
27,2019010502,야간,1,1,1416,02
28,2019010504,야간,1,1,1210,01
29,2019010508,주간,1,2,2202,22
30,2019010517,주간,1,2,1804,23
31,2019010604,야간,1,1,1711,34
32,2019010605,야간,1,2,2305,05
33,2019010612,주간,1,1,2208,22
34,2019010614,주간,1,4,1413,21
35,2019010615,주간,1,3,1806,21
36,2019010615,주간,1,1,1512,38
37,2019010618,야간,1,1,1706,05
38,2019010620,야간,1,1,2307,01
39,2019010621,야간,1,2,1402,32
40,2019010705,야간,1,1,2010,25
41,2019010705,야간,1,1,2206,01
42,2019010709,주간,1,1,1620,01
43,2019010718,야간,1,1,1318,22
44,2019010718,야간,1,1,2502,01
45,2019010720,야간,1,2,1324,23
46,2019010802,야간,1,1,2003,35
47,2019010804,야간,1,1,1111,01
48,2019010805,야간,1,1,2304,25
49,2019010814,주간,1,1,1214,05
50,2019010814,주간,1,1,1623,22
51,2019010816,주간,1,1,1327,01
52,2019010817,주간,1,1,2605,01
53,2019010818,야간,1,2,2016,05
54,2019010818,야간,1,1,1323,01
55,2019010818,야간,1,1,1308,21
56,2019010819,야간,1,1,1620,02
57,2019010821,야간,1,2,1326,25
58,2019010906,주간,1,1,1605,05
59,2019010918,야간,1,2,1315,01
60,2019011001,야간,1,4,1325,05
61,2019011005,야간,1,1,1935,01
62,2019011008,주간,1,1,1603,34
63,2019011012,주간,1,1,1917,32
64,2019011014,주간,1,1,1930,23
65,2019011015,주간,1,1,1821,22
66,2019011016,주간,1,1,2023,22
67,2019011018,야간,1,1,1318,01
68,2019011020,야간,1,3,1910,22
69,2019011020,야간,1,1,1502,25
70,2019011023,야간,1,1,1623,23
71,2019011105,야간,1,2,1908,25
72,2019011106,주간,1,2,1311,22
73,2019011107,주간,1,1,1319,02
74,2019011108,주간,1,1,1318,02
75,2019011114,주간,1,1,1515,25
76,2019011115,주간,1,1,1615,25
77,2019011117,주간,2,2,2102,05
78,2019011122,야간,1,2,1925,22
79,2019011123,야간,1,1,1602,05
80,2019011205,야간,1,1,1304,23
81,2019011205,야간,2,6,2208,22
82,2019011206,주간,1,1,1306,25
83,2019011207,주간,1,3,1402,21
84,2019011209,주간,1,1,1318,22
85,2019011211,주간,1,1,1905,03
86,2019011212,주간,1,5,1319,23
87,2019011220,야간,1,1,1315,05
88,2019011220,야간,1,4,1315,21
89,2019011221,야간,1,1,1327,02
90,2019011222,야간,1,1,2305,01
91,2019011305,야간,1,8,1337,23
92,2019011305,야간,1,1,1502,05
93,2019011307,주간,1,1,1611,02
94,2019011308,주간,1,1,1327,23
95,2019011311,주간,1,1,1606,34
96,2019011311,주간,1,1,1334,05
97,2019011317,주간,1,1,2304,01
98,2019011318,야간,1,1,1831,37
99,2019011321,야간,1,1,2301,32
100,2019011400,야간,1,2,1316,25
101,2019011404,야간,1,1,1909,32
102,2019011405,야간,1,2,1514,23
103,2019011405,야간,2,4,1904,23
104,2019011407,주간,1,1,2505,25
105,2019011407,주간,1,1,1327,23
106,2019011411,주간,1,1,1407,01
107,2019011411,주간,1,1,1804,38
108,2019011414,주간,1,1,1615,22
109,2019011415,주간,1,1,1413,32
110,2019011417,주간,1,1,1917,34
111,2019011417,주간,1,1,1112,01
112,2019011419,야간,1,1,1617,34
113,2019011502,야간,2,2,1308,32
114,2019011504,야간,1,1,2501,32
115,2019011507,주간,1,1,1309,23
116,2019011515,주간,1,1,1412,32
117,2019011521,야간,1,3,1315,22
118,2019011522,야간,1,1,1501,01
119,2019011523,야간,1,1,1602,32
120,2019011604,야간,1,3,1216,23
121,2019011604,야간,1,1,1104,37
122,2019011606,주간,1,2,1327,23
123,2019011609,주간,1,1,1318,37
124,2019011609,주간,1,1,1824,23
125,2019011611,주간,1,1,1831,37
126,2019011614,주간,1,1,2301,01
127,2019011619,야간,1,1,2030,05
128,2019011620,야간,1,1,2022,21
129,2019011621,야간,1,5,1820,34
130,2019011622,야간,1,1,1116,01
131,2019011622,야간,1,3,2101,05
132,2019011705,야간,1,1,2305,02
133,2019011705,야간,1,1,1603,05
134,2019011705,야간,1,1,1117,01
135,2019011707,주간,1,1,2022,04
136,2019011708,주간,1,1,2309,23
137,2019011708,주간,1,2,1313,21
138,2019011711,주간,1,1,1330,05
139,2019011711,주간,1,5,1114,23
140,2019011713,주간,1,1,1315,01
141,2019011718,야간,1,1,1303,01
142,2019011800,야간,1,1,1112,05
143,2019011805,야간,1,1,1210,01
144,2019011805,야간,1,1,1211,01
145,2019011806,주간,1,1,2306,01
146,2019011807,주간,1,1,1324,25
147,2019011810,주간,1,3,1107,37
148,2019011810,주간,1,1,1502,25
149,2019011812,주간,1,1,1615,22
150,2019011815,주간,1,1,1302,05
151,2019011819,야간,1,1,1904,02
152,2019011906,주간,1,1,1903,25
153,2019011907,주간,1,1,1112,25
154,2019011911,주간,1,1,1701,25
155,2019011911,주간,1,1,1825,02
156,2019011918,야간,1,1,1803,01
157,2019011919,야간,1,1,1503,01
158,2019011919,야간,1,1,1308,21
159,2019011920,야간,1,2,1316,05
160,2019011922,야간,1,1,1307,01
161,2019012001,야간,1,3,1319,23
162,2019012002,야간,1,1,1405,03
163,2019012006,주간,1,1,1320,32
164,2019012006,주간,1,1,1913,02
165,2019012008,주간,1,6,2301,23
166,2019012009,주간,1,1,2102,22
167,2019012011,주간,1,1,1502,05
168,2019012017,주간,1,2,1623,23
169,2019012021,야간,1,1,2203,02
170,2019012023,야간,1,8,2027,25
171,2019012100,야간,1,1,1112,22
172,2019012106,주간,1,1,1309,01
173,2019012109,주간,1,1,1617,22
174,2019012112,주간,1,1,1125,01
175,2019012113,주간,1,1,1517,25
176,2019012118,야간,1,1,1611,05
177,2019012200,야간,1,1,1315,37
178,2019012200,야간,1,1,1337,32
179,2019012201,야간,1,2,1401,32
180,2019012205,야간,1,1,1303,01
181,2019012206,주간,1,1,2205,01
182,2019012206,주간,1,1,1304,01
183,2019012207,주간,1,1,1303,01
184,2019012208,주간,1,1,1907,01
185,2019012208,주간,1,2,1806,21
186,2019012213,주간,1,2,1116,25
187,2019012216,주간,1,1,1415,32
188,2019012217,주간,1,2,1420,32
189,2019012221,야간,1,1,1125,05
190,2019012303,야간,1,1,1101,05
191,2019012305,야간,1,1,1302,25
192,2019012307,주간,1,1,1303,01
193,2019012312,주간,1,1,2013,38
194,2019012313,주간,1,1,1711,39
195,2019012315,주간,1,1,2016,01
196,2019012316,주간,1,1,1402,22
197,2019012323,야간,1,1,1905,22
198,2019012400,야간,1,1,1104,01
199,2019012404,야간,1,1,1303,01
200,2019012407,주간,1,1,1208,01
201,2019012409,주간,1,1,1910,22
202,2019012413,주간,1,1,1823,32
203,2019012414,주간,1,1,1822,22
204,2019012414,주간,1,1,1215,22
205,2019012415,주간,1,1,1806,37
206,2019012418,야간,1,1,1819,03
207,2019012420,야간,3,8,1407,22
208,2019012421,야간,1,1,2505,01
209,2019012423,야간,1,1,2303,01
210,2019012502,야간,1,4,2208,23
211,2019012502,야간,1,1,1908,32
212,2019012504,야간,1,2,1107,37
213,2019012505,야간,1,1,2305,01
214,2019012507,주간,1,2,1421,23
215,2019012510,주간,1,2,2003,25
216,2019012515,주간,1,2,1324,21
217,2019012518,야간,1,1,1905,02
218,2019012518,야간,1,1,2013,05
219,2019012519,야간,1,2,2102,01
220,2019012523,야간,1,3,1723,21
221,2019012523,야간,1,1,1107,05
222,2019012600,야간,1,1,1333,05
223,2019012602,야간,2,3,1402,25
224,2019012608,주간,1,1,1209,39
225,2019012609,주간,1,1,1828,01
226,2019012611,주간,1,1,1916,39
227,2019012614,주간,1,2,1318,22
228,2019012703,야간,1,1,1307,23
229,2019012705,야간,1,1,1315,02
230,2019012706,주간,1,1,2503,01
231,2019012807,주간,1,1,1616,05
232,2019012807,주간,1,2,1514,32
233,2019012807,주간,1,1,1831,01
234,2019012808,주간,1,1,1615,32
